pdb_id,cas_entry,n_residues,n_allosteric,allosteric_pct,auroc,auprc,max_identity,closest_training_pdb
1NXE,cas0001,2556,48,1.8779342723004695,0.7584853468899522,0.04534268691857627,0.973,1NXG
1OWC,cas0001,2556,48,1.8779342723004695,0.6742299641148325,0.028104017950233283,0.974,1NXG
4G6B,cas0001,2556,48,1.8779342723004695,0.8204620215311005,0.23962945481140627,0.974,1NXG
4JAD,cas0001,2556,48,1.8779342723004695,0.7287804027113237,0.036280550310224605,0.96,1NXG
4JAE,cas0001,2556,48,1.8779342723004695,0.9525476807549176,0.47804700569398323,0.96,1NXG
4JAG,cas0001,2556,48,1.8779342723004695,0.7287637892078682,0.03651765247117292,0.96,1NXG
1S8O,cas0002,1090,30,2.7522935779816518,0.6390566037735849,0.04464999429028206,0.477,4PFK
3I1Y,cas0002,545,30,5.5045871559633035,0.41818770226537216,0.049978400104964696,0.477,4PFK
3I28,cas0002,545,30,5.5045871559633035,0.4709708737864078,0.05621451719329254,0.477,4PFK
3KOO,cas0002,545,30,5.5045871559633035,0.6885760517799353,0.1223735947019797,0.477,4PFK
3OTQ,cas0002,545,30,5.5045871559633035,0.45922330097087377,0.053160606232101934,0.477,4PFK
3WK4,cas0002,1092,30,2.7472527472527473,0.833286252354049,0.24080197293921646,0.477,4PFK
3WK5,cas0002,1092,30,2.7472527472527473,0.7396892655367232,0.09576053765004211,0.477,4PFK
3WK6,cas0002,1092,30,2.7472527472527473,0.6573917137476459,0.04239742072517942,0.477,4PFK
3WK7,cas0002,1092,30,2.7472527472527473,0.8621782799748902,0.261031267083478,0.477,4PFK
3WK8,cas0002,1092,30,2.7472527472527473,0.6590395480225989,0.04645715211316004,0.477,4PFK
3WK9,cas0002,1092,30,2.7472527472527473,0.7219868173258004,0.05112319671701033,0.477,4PFK
3WKA,cas0002,1092,30,2.7472527472527473,0.642059008160703,0.04434537843508582,0.477,4PFK
3WKB,cas0002,1092,30,2.7472527472527473,0.8601851851851853,0.2044268106492533,0.477,4PFK
3WKC,cas0002,1092,30,2.7472527472527473,0.6753923414940365,0.045887668583056714,0.477,4PFK
3WKD,cas0002,1092,30,2.7472527472527473,0.8707940991839297,0.28940475439847596,0.477,4PFK
3WKE,cas0002,1092,30,2.7472527472527473,0.7554300062774639,0.09999936209241725,0.477,4PFK
4HAI,cas0002,1096,30,2.737226277372263,0.6298780487804878,0.043743043744041456,0.477,4PFK
4J03,cas0002,1096,30,2.737226277372263,0.6499687304565354,0.04754538409903505,0.477,4PFK
4OCZ,cas0002,1096,30,2.737226277372263,0.7033927454659161,0.05484648785036106,0.477,4PFK
4OD0,cas0002,1094,30,2.742230347349177,0.6461309523809524,0.04483524463056313,0.477,4PFK
4Y2J,cas0002,1092,30,2.7472527472527473,0.6470495919648462,0.04513666402935025,0.477,4PFK
4Y2P,cas0002,1092,30,2.7472527472527473,0.6518204645323289,0.04544458415048524,0.477,4PFK
4Y2Q,cas0002,1092,30,2.7472527472527473,0.6635593220338982,0.04572007227104076,0.477,4PFK
4Y2R,cas0002,1092,30,2.7472527472527473,0.6380571249215317,0.04320817098092283,0.477,4PFK
4Y2S,cas0002,1092,30,2.7472527472527473,0.6694758317639673,0.04660606955616439,0.477,4PFK
4Y2T,cas0002,1092,30,2.7472527472527473,0.6343377275580666,0.04311308523293395,0.477,4PFK
4Y2U,cas0002,1092,30,2.7472527472527473,0.6373195229127433,0.04305390274799622,0.477,4PFK
4Y2V,cas0002,1092,30,2.7472527472527473,0.642435655994978,0.044402656336425664,0.477,4PFK
4Y2X,cas0002,1092,30,2.7472527472527473,0.6747018204645323,0.04885731013407579,0.477,4PFK
4Y2Y,cas0002,1092,30,2.7472527472527473,0.649105461393597,0.0441163118260786,0.477,4PFK
5AHX,cas0002,1092,30,2.7472527472527473,0.6255649717514125,0.04401734571012763,0.477,4PFK
5AI0,cas0002,1094,30,2.742230347349177,0.7617481203007518,0.06595201095421949,0.477,4PFK
5AI4,cas0002,547,30,5.484460694698354,0.45399742101869767,0.052274994096653135,0.477,4PFK
5AI5,cas0002,1094,30,2.742230347349177,0.8766290726817042,0.2607304514036731,0.477,4PFK
5AI6,cas0002,1090,30,2.7522935779816518,0.6294339622641509,0.04287818452464794,0.477,4PFK
5AI8,cas0002,1078,30,2.782931354359926,0.6231234096692111,0.043517286068229466,0.477,4PFK
5AI9,cas0002,1092,30,2.7472527472527473,0.601757689893283,0.039910379882289994,0.477,4PFK
5AIA,cas0002,1094,30,2.742230347349177,0.868703007518797,0.0972191909234851,0.477,4PFK
5AIB,cas0002,1094,30,2.742230347349177,0.6230733082706766,0.041679629375925224,0.477,4PFK
5AIC,cas0002,1092,30,2.7472527472527473,0.7508003766478343,0.13202445857313114,0.477,4PFK
5AK3,cas0002,1094,30,2.742230347349177,0.8674812030075187,0.1480075245678488,0.477,4PFK
5AK4,cas0002,547,30,5.484460694698354,0.5882978723404255,0.08463637978638625,0.477,4PFK
5AK5,cas0002,1092,30,2.7472527472527473,0.8708411801632141,0.2371721654343795,0.477,4PFK
